item_name,full_price,new_price,discount,amount_saved,category
ceres organics snacks seaweed teriyaki,Was $2.70, $ 2 30 ,Save $0.40,14.81,Unknown
cottees syrup maple flavoured,Was $3.99, $ 3 40 ,Save $0.59,14.79,Unknown
healtheries fish oil value pack 1500mg,Was $26.99, $ 23 00 ,Save $3.99,14.78,Fish & Seafood
black cottage pinot noir marlborough,Was $26.99, $ 23 00 ,Save $3.99,14.78,Beer & Wine
ecostore dishwash liquid grapefruit,Was $8.80, $ 7 50 ,Save $1.30,14.77,Household
ecostore dishwash liquid aluminium edition,Was $8.80, $ 7 50 ,Save $1.30,14.77,Household
ecostore dishwash liquid jasmine & harake,Was $8.80, $ 7 50 ,Save $1.30,14.77,Household
ecostore dishwash liquid lemon,Was $8.80, $ 7 50 ,Save $1.30,14.77,Household
mitchum roll on sport,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
kapiti yoghurt tub plum,Was $6.80, $ 5 80 ,Save $1.00,14.71,Fridge & Deli
mitchum roll on powder fresh lady,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
mitchum roll on shower fresh,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
kapiti yoghurt tub sweet rhubarb & vanilla,Was $6.80, $ 5 80 ,Save $1.00,14.71,Fridge & Deli
mitchum mens roll on ice fresh,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
mitchum roll on unscented,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
kapiti yoghurt tub caramel toffee,Was $6.80, $ 5 80 ,Save $1.00,14.71,Fridge & Deli
mitchum womens roll on unscented,Was $4.69, $ 4 00 ,Save $0.69,14.71,Unknown
tena pads extra standard length,Was $17.00, $ 14 50 ,Save $2.50,14.71,Unknown
vanish preen gold stain remover power gel,Was $12.30, $ 10 50 ,Save $1.80,14.63,Unknown
edmonds standard grade flour,Was $4.10, $ 3 50 ,Save $0.60,14.63,Unknown
edmonds high grade flour,Was $4.10, $ 3 50 ,Save $0.60,14.63,Unknown
edmonds wholemeal flour,Was $4.10, $ 3 50 ,Save $0.60,14.63,Unknown
asahi super dry beer,Was $55.00, $ 47 00 ,Save $8.00,14.55,Beer & Wine
mccain lil pizzas cheesy vegemite 380g,Was $7.60, $ 6 50 ,Save $1.10,14.47,Frozen
verkerks kransky original,Was $6.99, $ 5 99 ,Save $1.00,14.31,Unknown
twinings lady grey tea,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
kapiti camembert cheese kahikatea,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
providore pasta sauce tomato & red chilli,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
lipton ice tea peach,Was $3.50, $ 3 00 ,Save $0.50,14.29,Drinks
providore pasta sauce tomato & carmelised onion,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
coopers beer extra stout ale,Was $7.00, $ 6 00 ,Save $1.00,14.29,Beer & Wine
poise womens continence pads regular liners,Was $7.00, $ 6 00 ,Save $1.00,14.29,Unknown
roses concentrate lemon cordial,Was $7.00, $ 6 00 ,Save $1.00,14.29,Beer & Wine
kapiti brie cheese akatea,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
twinings earl grey tea leaves,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
just juice splash fruit drink tropical 125ml,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
culleys rockin rib rub,Was $4.90, $ 4 20 ,Save $0.70,14.29,Unknown
mainland buttersoft butter,Was $7.00, $ 6 00 ,Save $1.00,14.29,Fridge & Deli
silvo metal polish cleaner,Was $17.50, $ 15 00 ,Save $2.50,14.29,Unknown
culleys braai seasoning,Was $4.90, $ 4 20 ,Save $0.70,14.29,Unknown
healtheries chocolate bits dark choc 99% sugar free,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
culleys buffalo chicken rub,Was $4.90, $ 4 20 ,Save $0.70,14.29,Meat & Poultry
twinings green tea 75g,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
spc spaghetti rich tomato,Was $2.10, $ 1 80 ,Save $0.30,14.29,Unknown
providore pasta sauce ricotta & pecorino,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
moccona flavour infused instant freeze dried coffee hazelnut,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
moccona classic instant freeze dried coffee medium roast,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
spc baked beans rich tomato,Was $2.10, $ 1 80 ,Save $0.30,14.29,Pantry
chapstick lip balm strawberry spf15 4.2g,Was $4.20, $ 3 60 ,Save $0.60,14.29,Unknown
healtheries baking bits milk chocolate no added sugar,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
spc baked beans rich tomato salt reduced,Was $2.10, $ 1 80 ,Save $0.30,14.29,Pantry
sard wonder laundry liquid sanitiser antibacterial disinfectant,Was $14.00, $ 12 00 ,Save $2.00,14.29,Household
culleys championship rub,Was $4.90, $ 4 20 ,Save $0.70,14.29,Fridge & Deli
